text,label
PM-Kisan registration can be done online through the self-registration option on pmkisan.gov.in or with help at the nearest CSC.,genuine
Farmers should note that loans up to ₹1.6 lakh under the Kisan Credit Card scheme are collateral-free for eligible farmers.,genuine
"Forwarded as received: rumor spreading in farmer WhatsApp groups says MSP procurement centers are closing early this year, sell immediately or lose the chance.",misleading
"As per the official scheme guidelines, most farmers can combine multiple schemes — for example PM-Kisan for income support, PMFBY for insurance, and KCC for credit — as they are not mutually exclusive.",genuine
"Someone in the village group shared: new scheme gives ₹50,000 instantly to every farmer who shares this message with 20 contacts before the offer expires tonight.",misleading
"According to the agriculture department, PM Fasal Bima Yojana (PMFBY) charges farmers only 2% of the sum insured as premium for Kharif crops, with the government covering the rest.",genuine
"Someone in the village group shared: fake alert says the deadline for PM-Kisan registration has been moved to tonight only, apply now through this suspicious shortened link.",misleading
"According to the agriculture department, KCC has been extended to cover working capital needs for dairy and fisheries activities, not just crop production.",genuine
"According to the agriculture department, the Soil Health Card scheme provides farmers a free soil test once every two years along with fertilizer recommendations for their crops.",genuine
"Someone in the village group shared: post claims all farmers above 60 will get a surprise ₹8,000 monthly pension without any registration, just share your bank details here.",misleading
Farmers should note that pM-Kisan registration can be done online through the self-registration option on pmkisan.gov.in or with help at the nearest CSC.,genuine
"As per the official scheme guidelines, farmers can check their MSP rates for the current season on the official Department of Agriculture website before selling their produce.",genuine
"Under PM-Kisan, farmers can check their installment status by logging into the official portal pmkisan.gov.in with their registration number.",genuine
Someone in the village group shared: this message says e-NAM will shut down next week unless farmers register immediately by paying a 'verification fee' through this link.,misleading
"URGENT: PM-Kisan 15th installment of ₹4,000 will be credited tomorrow only, click this link now and confirm your bank details to receive it.",misleading
"Through e-NAM, farmers are no longer limited to selling only in their local mandi and can access better price discovery across states.",genuine
"As per the official scheme guidelines, under PM-Kisan, farmers can check their installment status by logging into the official portal pmkisan.gov.in with their registration number.",genuine
"Copy-pasting this from another group: breaking: Centre has waived off all farm loans up to ₹5 lakh with immediate effect, apply before midnight through this WhatsApp link.",misleading
"MGNREGA guarantees 100 days of minimum wage employment per rural household per year, with wages varying by state.",genuine
"Farmers should note that pM-Kisan Samman Nidhi gives eligible small and marginal farmers ₹6,000 per year in three installments of ₹2,000 through direct bank transfer.",genuine
"Farmers should note that for Rabi season, PMFBY premium is capped at 1.5% of sum insured, while commercial and horticultural crops are capped at 5%.",genuine
"To apply for PMFBY, farmers can visit their local bank branch, a Common Service Centre, or the official pmfby.gov.in portal.",genuine
"Forwarded as received: URGENT: PM-Kisan 15th installment of ₹4,000 will be credited tomorrow only, click this link now and confirm your bank details to receive it.",misleading
"Forwarded as received: government scheme officer will call you shortly asking for your bank OTP to release your pending PM-Kisan installment, please keep your phone ready.",misleading
Someone in the village group shared: fake news going around that MSP for wheat has doubled overnight — click here to see the 'official' rate list before it's taken down.,misleading
"Chain message claims a new 'Kisan Diwali Bonus' of ₹25,000 will be sent only to those who forward this to 15 people right now.",misleading
Farmers should note that the Fasal Bima Yojana claims process requires farmers to report crop loss to their bank or insurance company within 72 hours of the event.,genuine
"Copy-pasting this from another group: rumor spreading in farmer WhatsApp groups says MSP procurement centers are closing early this year, sell immediately or lose the chance.",misleading
"According to the agriculture department, pM-Kisan Samman Nidhi gives eligible small and marginal farmers ₹6,000 per year in three installments of ₹2,000 through direct bank transfer.",genuine
"Soil Health Card holders can now withdraw ₹10,000 cash bonus directly, just enter your card number and PIN on this website.",misleading
Forwarded as received: viral claim says a new drone spraying subsidy gives ₹1 lakh instantly to anyone who registers with just a phone number on this site.,misleading
"As per the official scheme guidelines, the Agriculture Ministry has asked officials to make Soil Health Cards available in farmers' local languages for better understanding.",genuine
"According to the agriculture department, the Fasal Bima Yojana claims process requires farmers to report crop loss to their bank or insurance company within 72 hours of the event.",genuine
Limited time: Free solar pump for every farmer who fills this Google form and pays ₹500 registration fee within 24 hours.,misleading
Forwarded as received: fake news going around that MSP for wheat has doubled overnight — click here to see the 'official' rate list before it's taken down.,misleading
Farmers should note that over 22 crore Soil Health Cards have been distributed to farmers so far under the scheme.,genuine
"Farmers wanting to update their bank account or Aadhaar details for PM-Kisan should do so through the official portal or their bank, not through third-party links.",genuine
Forwarded as received: new rule: Farmers who don't forward this PM-Kisan message to 5 groups today will be removed from the beneficiary list permanently.,misleading
"As per the official scheme guidelines, pM-Kisan eligibility was widened in April 2019 to remove the earlier 2-hectare landholding cap, covering more landholding farmer families.",genuine
"According to the agriculture department, under PM-KMY, the central government matches the farmer's monthly pension contribution rupee for rupee.",genuine
"As per the official scheme guidelines, for Rabi season, PMFBY premium is capped at 1.5% of sum insured, while commercial and horticultural crops are capped at 5%.",genuine
"Farmers should note that pM-Kisan eligibility was widened in April 2019 to remove the earlier 2-hectare landholding cap, covering more landholding farmer families.",genuine
Someone in the village group shared: viral claim says a new drone spraying subsidy gives ₹1 lakh instantly to anyone who registers with just a phone number on this site.,misleading
"Under PM Krishi Sinchayee Yojana, farmers can get subsidy support for drip and sprinkler micro-irrigation systems.",genuine
"As per the official scheme guidelines, PM Kisan Maan-Dhan Yojana is a voluntary pension scheme where small and marginal farmers contribute ₹55 to ₹200 a month and receive ₹3,000 monthly pension after turning 60.",genuine
"PM-Kisan Samman Nidhi gives eligible small and marginal farmers ₹6,000 per year in three installments of ₹2,000 through direct bank transfer.",genuine
"Copy-pasting this from another group: post claims all farmers above 60 will get a surprise ₹8,000 monthly pension without any registration, just share your bank details here.",misleading
"Rumor spreading in farmer WhatsApp groups says MSP procurement centers are closing early this year, sell immediately or lose the chance.",misleading
Unverified post says Soil Health Card scheme has been replaced overnight and farmers must pay ₹200 to 'renew' their card on this link.,misleading
"As per the official scheme guidelines, under PM-KMY, the central government matches the farmer's monthly pension contribution rupee for rupee.",genuine
"Forwarded as received: share this message urgently — MGNREGA wages have been increased to ₹1000 per day starting tomorrow, don't miss out, apply now on this link.",misleading
"Copy-pasting this from another group: forwarded claim: PM Kisan Maan-Dhan pension has increased to ₹10,000 per month overnight, apply urgently before the deadline tonight.",misleading
"According to the agriculture department, the Agriculture Ministry has asked officials to make Soil Health Cards available in farmers' local languages for better understanding.",genuine
"According to the agriculture department, PM Kisan Maan-Dhan Yojana is a voluntary pension scheme where small and marginal farmers contribute ₹55 to ₹200 a month and receive ₹3,000 monthly pension after turning 60.",genuine
"Someone in the village group shared: forward says a 'special quota' of KCC loans at 0% interest is open only for the next 6 hours, apply through this personal number.",misleading
"Copy-pasting this from another group: government scheme officer will call you shortly asking for your bank OTP to release your pending PM-Kisan installment, please keep your phone ready.",misleading
"Farmers should note that most farmers can combine multiple schemes — for example PM-Kisan for income support, PMFBY for insurance, and KCC for credit — as they are not mutually exclusive.",genuine
"Copy-pasting this from another group: warning message says KCC interest rate has become 0% for everyone starting today, hurry and apply through this shady third-party app.",misleading
"According to the agriculture department, the government has continued PM Fasal Bima Yojana and the Restructured Weather Based Crop Insurance Scheme with an increased outlay for farmer coverage.",genuine
"Message claims scanning this QR code will instantly release your delayed PMFBY claim amount, no application needed.",misleading
Copy-pasting this from another group: post says PM Fasal Bima Yojana claims will double if farmers pay a 'processing fee' upfront through this personal UPI ID.,misleading
"PM Kisan Maan-Dhan Yojana is a voluntary pension scheme where small and marginal farmers contribute ₹55 to ₹200 a month and receive ₹3,000 monthly pension after turning 60.",genuine
"Someone in the village group shared: your Kisan Credit Card has been blocked, send your Aadhaar number and OTP on this chat within 1 hour to reactivate it.",misleading
"Post claims all farmers above 60 will get a surprise ₹8,000 monthly pension without any registration, just share your bank details here.",misleading
The government has continued PM Fasal Bima Yojana and the Restructured Weather Based Crop Insurance Scheme with an increased outlay for farmer coverage.,genuine
"e-NAM is an online platform connecting over 1,400 APMC mandis, letting farmers sell more than 30 commodities to buyers across different states.",genuine
Forwarded as received: this forward claims MGNREGA job cards are being cancelled unless farmers verify by clicking a link and entering their bank PIN.,misleading
"Someone in the village group shared: warning message says KCC interest rate has become 0% for everyone starting today, hurry and apply through this shady third-party app.",misleading
"PM-Kisan eligibility was widened in April 2019 to remove the earlier 2-hectare landholding cap, covering more landholding farmer families.",genuine
"Government has announced FREE tractors for all farmers under a new scheme, only 100 slots left today, forward this message to 10 groups to register.",misleading
Copy-pasting this from another group: unverified post says Soil Health Card scheme has been replaced overnight and farmers must pay ₹200 to 'renew' their card on this link.,misleading
"Forwarded as received: your Kisan Credit Card has been blocked, send your Aadhaar number and OTP on this chat within 1 hour to reactivate it.",misleading
Copy-pasting this from another group: new rule: Farmers who don't forward this PM-Kisan message to 5 groups today will be removed from the beneficiary list permanently.,misleading
"Forwarded as received: soil Health Card holders can now withdraw ₹10,000 cash bonus directly, just enter your card number and PIN on this website.",misleading
Farmers should note that farmers with a Kisan Credit Card or existing crop loan are automatically enrolled in PMFBY by their bank; non-loanee farmers must apply separately at pmfby.gov.in.,genuine
Fake news going around that MSP for wheat has doubled overnight — click here to see the 'official' rate list before it's taken down.,misleading
"According to the agriculture department, most farmers can combine multiple schemes — for example PM-Kisan for income support, PMFBY for insurance, and KCC for credit — as they are not mutually exclusive.",genuine
"Fake alert says the deadline for PM-Kisan registration has been moved to tonight only, apply now through this suspicious shortened link.",misleading
Forwarded as received: this message says e-NAM will shut down next week unless farmers register immediately by paying a 'verification fee' through this link.,misleading
"Copy-pasting this from another group: fake circular claims all crop insurance premiums are now free forever, just upload your bank passbook photo on this random link to confirm.",misleading
"Breaking: Centre has waived off all farm loans up to ₹5 lakh with immediate effect, apply before midnight through this WhatsApp link.",misleading
"As per the official scheme guidelines, under PM Krishi Sinchayee Yojana, farmers can get subsidy support for drip and sprinkler micro-irrigation systems.",genuine
"Warning message says KCC interest rate has become 0% for everyone starting today, hurry and apply through this shady third-party app.",misleading
Someone in the village group shared: chain message warns that not sharing this 'government scheme alert' will result in the farmer's name being removed from all subsidy lists.,misleading
"According to the agriculture department, over 22 crore Soil Health Cards have been distributed to farmers so far under the scheme.",genuine
"Farmers should note that e-NAM is an online platform connecting over 1,400 APMC mandis, letting farmers sell more than 30 commodities to buyers across different states.",genuine
"Forwarded as received: government has announced FREE tractors for all farmers under a new scheme, only 100 slots left today, forward this message to 10 groups to register.",misleading
"Copy-pasting this from another group: message claims scanning this QR code will instantly release your delayed PMFBY claim amount, no application needed.",misleading
"Copy-pasting this from another group: your Kisan Credit Card has been blocked, send your Aadhaar number and OTP on this chat within 1 hour to reactivate it.",misleading
"Fake circular claims all crop insurance premiums are now free forever, just upload your bank passbook photo on this random link to confirm.",misleading
"Farmers should note that kisan Credit Card holders can also use their credit line for allied activities like poultry and animal husbandry, not just crop inputs.",genuine
"Someone in the village group shared: breaking: Centre has waived off all farm loans up to ₹5 lakh with immediate effect, apply before midnight through this WhatsApp link.",misleading
"Farmers should note that MGNREGA guarantees 100 days of minimum wage employment per rural household per year, with wages varying by state.",genuine
Post says PM Fasal Bima Yojana claims will double if farmers pay a 'processing fee' upfront through this personal UPI ID.,misleading
"Someone in the village group shared: forwarded claim: PM Kisan Maan-Dhan pension has increased to ₹10,000 per month overnight, apply urgently before the deadline tonight.",misleading
"Under PM-KMY, the central government matches the farmer's monthly pension contribution rupee for rupee.",genuine
"Forwarded claim: PM Kisan Maan-Dhan pension has increased to ₹10,000 per month overnight, apply urgently before the deadline tonight.",misleading
"As per the official scheme guidelines, pM-Kisan registration can be done online through the self-registration option on pmkisan.gov.in or with help at the nearest CSC.",genuine
"Copy-pasting this from another group: government has announced FREE tractors for all farmers under a new scheme, only 100 slots left today, forward this message to 10 groups to register.",misleading
"Forwarded as received: post claims all farmers above 60 will get a surprise ₹8,000 monthly pension without any registration, just share your bank details here.",misleading
"Copy-pasting this from another group: forward says a 'special quota' of KCC loans at 0% interest is open only for the next 6 hours, apply through this personal number.",misleading
"According to the agriculture department, through e-NAM, farmers are no longer limited to selling only in their local mandi and can access better price discovery across states.",genuine
Farmers with a Kisan Credit Card or existing crop loan are automatically enrolled in PMFBY by their bank; non-loanee farmers must apply separately at pmfby.gov.in.,genuine
"Government scheme officer will call you shortly asking for your bank OTP to release your pending PM-Kisan installment, please keep your phone ready.",misleading
"According to the agriculture department, pM-Kisan registration can be done online through the self-registration option on pmkisan.gov.in or with help at the nearest CSC.",genuine
The Agriculture Ministry has asked officials to make Soil Health Cards available in farmers' local languages for better understanding.,genuine
Copy-pasting this from another group: message says the government will cancel everyone's KCC loan automatically if this message is not forwarded to at least 10 farmer groups.,misleading
"Someone in the village group shared: fake circular claims all crop insurance premiums are now free forever, just upload your bank passbook photo on this random link to confirm.",misleading
"According to the agriculture department, for Rabi season, PMFBY premium is capped at 1.5% of sum insured, while commercial and horticultural crops are capped at 5%.",genuine
Farmers should note that the Agriculture Ministry has asked officials to make Soil Health Cards available in farmers' local languages for better understanding.,genuine
"Forward says a 'special quota' of KCC loans at 0% interest is open only for the next 6 hours, apply through this personal number.",misleading
"Someone in the village group shared: alert: PM Fasal Bima Yojana is closing forever this week, register through this unofficial link before the government shuts down claims.",misleading
"As per the official scheme guidelines, paramparagat Krishi Vikas Yojana provides support to farmer groups adopting organic farming practices in clusters.",genuine
New rule: Farmers who don't forward this PM-Kisan message to 5 groups today will be removed from the beneficiary list permanently.,misleading
"According to the agriculture department, state agriculture departments periodically publish official lists of empanelled insurance companies for PMFBY on their websites.",genuine
"Forwarded as received: viral forward claims the government is giving ₹1 lakh instantly to any farmer who has an Aadhaar card, click the button below now.",misleading
Someone in the village group shared: post says PM Fasal Bima Yojana claims will double if farmers pay a 'processing fee' upfront through this personal UPI ID.,misleading
"New scheme gives ₹50,000 instantly to every farmer who shares this message with 20 contacts before the offer expires tonight.",misleading
Farmers should note that the Soil Health Card scheme provides farmers a free soil test once every two years along with fertilizer recommendations for their crops.,genuine
"According to the agriculture department, farmers with a Kisan Credit Card or existing crop loan are automatically enrolled in PMFBY by their bank; non-loanee farmers must apply separately at pmfby.gov.in.",genuine
Paramparagat Krishi Vikas Yojana provides support to farmer groups adopting organic farming practices in clusters.,genuine
"As per the official scheme guidelines, through e-NAM, farmers are no longer limited to selling only in their local mandi and can access better price discovery across states.",genuine
"According to the agriculture department, farmers can check their MSP rates for the current season on the official Department of Agriculture website before selling their produce.",genuine
"According to the agriculture department, kisan Credit Card holders can also use their credit line for allied activities like poultry and animal husbandry, not just crop inputs.",genuine
"As per the official scheme guidelines, the Soil Health Card scheme provides farmers a free soil test once every two years along with fertilizer recommendations for their crops.",genuine
"As per the official scheme guidelines, kisan Credit Card holders can also use their credit line for allied activities like poultry and animal husbandry, not just crop inputs.",genuine
State agriculture departments periodically publish official lists of empanelled insurance companies for PMFBY on their websites.,genuine
Someone in the village group shared: unverified post says Soil Health Card scheme has been replaced overnight and farmers must pay ₹200 to 'renew' their card on this link.,misleading
Copy-pasting this from another group: message spreading says all farmers must resubmit Aadhaar and bank details on this non-government website or lose PM-Kisan benefits forever.,misleading
"As per the official scheme guidelines, loans up to ₹1.6 lakh under the Kisan Credit Card scheme are collateral-free for eligible farmers.",genuine
"Copy-pasting this from another group: fake alert says the deadline for PM-Kisan registration has been moved to tonight only, apply now through this suspicious shortened link.",misleading
This message says e-NAM will shut down next week unless farmers register immediately by paying a 'verification fee' through this link.,misleading
"According to the agriculture department, to apply for PMFBY, farmers can visit their local bank branch, a Common Service Centre, or the official pmfby.gov.in portal.",genuine
"According to the agriculture department, the government procures 23 crops at Minimum Support Price (MSP) through FCI and state agencies to protect farmer income.",genuine
"Forwarded as received: fake circular claims all crop insurance premiums are now free forever, just upload your bank passbook photo on this random link to confirm.",misleading
"Forwarded as received: forwarded claim: PM Kisan Maan-Dhan pension has increased to ₹10,000 per month overnight, apply urgently before the deadline tonight.",misleading
"As per the official scheme guidelines, farmers with a Kisan Credit Card or existing crop loan are automatically enrolled in PMFBY by their bank; non-loanee farmers must apply separately at pmfby.gov.in.",genuine
"As per the official scheme guidelines, e-NAM is an online platform connecting over 1,400 APMC mandis, letting farmers sell more than 30 commodities to buyers across different states.",genuine
Copy-pasting this from another group: fake news going around that MSP for wheat has doubled overnight — click here to see the 'official' rate list before it's taken down.,misleading
"Kisan Credit Card holders can also use their credit line for allied activities like poultry and animal husbandry, not just crop inputs.",genuine
"Someone in the village group shared: government scheme officer will call you shortly asking for your bank OTP to release your pending PM-Kisan installment, please keep your phone ready.",misleading
"Share this message urgently — MGNREGA wages have been increased to ₹1000 per day starting tomorrow, don't miss out, apply now on this link.",misleading
"Farmers should note that to apply for PMFBY, farmers can visit their local bank branch, a Common Service Centre, or the official pmfby.gov.in portal.",genuine
"Forwarded as received: alert: PM Fasal Bima Yojana is closing forever this week, register through this unofficial link before the government shuts down claims.",misleading
The Kisan Credit Card scheme offers loans up to ₹3 lakh at an effective interest rate of about 4% for farmers who repay on time.,genuine
The Fasal Bima Yojana claims process requires farmers to report crop loss to their bank or insurance company within 72 hours of the event.,genuine
"Farmers should note that KCC has been extended to cover working capital needs for dairy and fisheries activities, not just crop production.",genuine
"Forwarded as received: new scheme gives ₹50,000 instantly to every farmer who shares this message with 20 contacts before the offer expires tonight.",misleading
"As per the official scheme guidelines, state agriculture departments periodically publish official lists of empanelled insurance companies for PMFBY on their websites.",genuine
"Farmers should note that PM Fasal Bima Yojana (PMFBY) charges farmers only 2% of the sum insured as premium for Kharif crops, with the government covering the rest.",genuine
"Farmers should note that under PM Krishi Sinchayee Yojana, farmers can get subsidy support for drip and sprinkler micro-irrigation systems.",genuine
"Forwarded as received: fake alert says the deadline for PM-Kisan registration has been moved to tonight only, apply now through this suspicious shortened link.",misleading
Farmers can check their MSP rates for the current season on the official Department of Agriculture website before selling their produce.,genuine
Farmers should note that farmers can check their MSP rates for the current season on the official Department of Agriculture website before selling their produce.,genuine
Loans up to ₹1.6 lakh under the Kisan Credit Card scheme are collateral-free for eligible farmers.,genuine
"As per the official scheme guidelines, the Fasal Bima Yojana claims process requires farmers to report crop loss to their bank or insurance company within 72 hours of the event.",genuine
Forwarded as received: message says the government will cancel everyone's KCC loan automatically if this message is not forwarded to at least 10 farmer groups.,misleading
Someone in the village group shared: this forward claims MGNREGA job cards are being cancelled unless farmers verify by clicking a link and entering their bank PIN.,misleading
"According to the agriculture department, PMFBY uses satellite imagery and yield-estimation technology to help assess crop damage more objectively during claims.",genuine
"Copy-pasting this from another group: chain message claims a new 'Kisan Diwali Bonus' of ₹25,000 will be sent only to those who forward this to 15 people right now.",misleading
Message says the government will cancel everyone's KCC loan automatically if this message is not forwarded to at least 10 farmer groups.,misleading
"Farmers should note that under PM-KMY, the central government matches the farmer's monthly pension contribution rupee for rupee.",genuine
"Forwarded as received: message claims scanning this QR code will instantly release your delayed PMFBY claim amount, no application needed.",misleading
Farmers should note that PMFBY uses satellite imagery and yield-estimation technology to help assess crop damage more objectively during claims.,genuine
Viral claim says a new drone spraying subsidy gives ₹1 lakh instantly to anyone who registers with just a phone number on this site.,misleading
"Someone in the village group shared: viral forward claims the government is giving ₹1 lakh instantly to any farmer who has an Aadhaar card, click the button below now.",misleading
The Soil Health Card scheme provides farmers a free soil test once every two years along with fertilizer recommendations for their crops.,genuine
"Someone in the village group shared: chain message claims a new 'Kisan Diwali Bonus' of ₹25,000 will be sent only to those who forward this to 15 people right now.",misleading
"As per the official scheme guidelines, pM-Kisan Samman Nidhi gives eligible small and marginal farmers ₹6,000 per year in three installments of ₹2,000 through direct bank transfer.",genuine
Farmers should note that paramparagat Krishi Vikas Yojana provides support to farmer groups adopting organic farming practices in clusters.,genuine
Someone in the village group shared: limited time: Free solar pump for every farmer who fills this Google form and pays ₹500 registration fee within 24 hours.,misleading
"According to the agriculture department, farmers wanting to update their bank account or Aadhaar details for PM-Kisan should do so through the official portal or their bank, not through third-party links.",genuine
The government procures 23 crops at Minimum Support Price (MSP) through FCI and state agencies to protect farmer income.,genuine
Farmers should note that the government has continued PM Fasal Bima Yojana and the Restructured Weather Based Crop Insurance Scheme with an increased outlay for farmer coverage.,genuine
Copy-pasting this from another group: viral claim says a new drone spraying subsidy gives ₹1 lakh instantly to anyone who registers with just a phone number on this site.,misleading
"Copy-pasting this from another group: viral forward claims the government is giving ₹1 lakh instantly to any farmer who has an Aadhaar card, click the button below now.",misleading
Someone in the village group shared: new rule: Farmers who don't forward this PM-Kisan message to 5 groups today will be removed from the beneficiary list permanently.,misleading
Copy-pasting this from another group: this message says e-NAM will shut down next week unless farmers register immediately by paying a 'verification fee' through this link.,misleading
"According to the agriculture department, e-NAM is an online platform connecting over 1,400 APMC mandis, letting farmers sell more than 30 commodities to buyers across different states.",genuine
"Copy-pasting this from another group: alert: PM Fasal Bima Yojana is closing forever this week, register through this unofficial link before the government shuts down claims.",misleading
Forwarded as received: chain message warns that not sharing this 'government scheme alert' will result in the farmer's name being removed from all subsidy lists.,misleading
"Someone in the village group shared: soil Health Card holders can now withdraw ₹10,000 cash bonus directly, just enter your card number and PIN on this website.",misleading
"Forwarded as received: breaking: Centre has waived off all farm loans up to ₹5 lakh with immediate effect, apply before midnight through this WhatsApp link.",misleading
Farmers should note that the government procures 23 crops at Minimum Support Price (MSP) through FCI and state agencies to protect farmer income.,genuine
"Farmers should note that through e-NAM, farmers are no longer limited to selling only in their local mandi and can access better price discovery across states.",genuine
Farmers should note that the Kisan Credit Card scheme offers loans up to ₹3 lakh at an effective interest rate of about 4% for farmers who repay on time.,genuine
"Farmers should note that under PM-Kisan, farmers can check their installment status by logging into the official portal pmkisan.gov.in with their registration number.",genuine
"PM Fasal Bima Yojana (PMFBY) charges farmers only 2% of the sum insured as premium for Kharif crops, with the government covering the rest.",genuine
"Most farmers can combine multiple schemes — for example PM-Kisan for income support, PMFBY for insurance, and KCC for credit — as they are not mutually exclusive.",genuine
Copy-pasting this from another group: limited time: Free solar pump for every farmer who fills this Google form and pays ₹500 registration fee within 24 hours.,misleading
"According to the agriculture department, the Kisan Credit Card scheme offers loans up to ₹3 lakh at an effective interest rate of about 4% for farmers who repay on time.",genuine
"Copy-pasting this from another group: new scheme gives ₹50,000 instantly to every farmer who shares this message with 20 contacts before the offer expires tonight.",misleading
Chain message warns that not sharing this 'government scheme alert' will result in the farmer's name being removed from all subsidy lists.,misleading
"Forwarded as received: warning message says KCC interest rate has become 0% for everyone starting today, hurry and apply through this shady third-party app.",misleading
"According to the agriculture department, loans up to ₹1.6 lakh under the Kisan Credit Card scheme are collateral-free for eligible farmers.",genuine
Message spreading says all farmers must resubmit Aadhaar and bank details on this non-government website or lose PM-Kisan benefits forever.,misleading
"Farmers should note that PM Kisan Maan-Dhan Yojana is a voluntary pension scheme where small and marginal farmers contribute ₹55 to ₹200 a month and receive ₹3,000 monthly pension after turning 60.",genuine
"As per the official scheme guidelines, the government procures 23 crops at Minimum Support Price (MSP) through FCI and state agencies to protect farmer income.",genuine
"According to the agriculture department, MGNREGA guarantees 100 days of minimum wage employment per rural household per year, with wages varying by state.",genuine
"According to the agriculture department, paramparagat Krishi Vikas Yojana provides support to farmer groups adopting organic farming practices in clusters.",genuine
Forwarded as received: message spreading says all farmers must resubmit Aadhaar and bank details on this non-government website or lose PM-Kisan benefits forever.,misleading
"According to the agriculture department, under PM-Kisan, farmers can check their installment status by logging into the official portal pmkisan.gov.in with their registration number.",genuine
"KCC has been extended to cover working capital needs for dairy and fisheries activities, not just crop production.",genuine
"Copy-pasting this from another group: share this message urgently — MGNREGA wages have been increased to ₹1000 per day starting tomorrow, don't miss out, apply now on this link.",misleading
"KCC loan limits and interest subvention are reviewed by NABARD and RBI, not by any private company or app.",genuine
Received this in a group: someone shared that PMKSY irrigation subsidy has increased to 90% but you must act within 3 hours through this unofficial portal.,misleading
